Pgroup,Lp,Pkod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
CHEMISTRY,1,9954,MYDLO SAFINA KREMOWE 90 GR,0.016042781,6,0,0,
CHEMISTRY,1,6764,MYDLO SZARE 175 G,0.048128342,18,0,0,
CHEMISTRY,1,9953,MYDLO SZARE ATTIS 200GR,0.016042781,6,0,0,
CHEMISTRY,1,9627,MYDLO W PLYNIE 500 ML SASZETKA ABE,0.00802139,3,0,0,
CHEMISTRY,1,9628,MYDLO W PLYNIE SASZETKA 500 ML ABE,0.002673797,1,0,0,
CHEMISTRY,1,19254,MYD?O ARKO CREAMY 90 G,0.013368984,5,0,0,
CHEMISTRY,1,4725,MYD?O LUKSJA W KOSTCE ROCE 90G,0.064171123,24,0,0,
CHEMISTRY,1,8137,MYSZ NAKRECANA,0.002673797,1,0,0,
CHEMISTRY,1,7639,NABIJARKA,0.002673797,1,0,0,
CHEMISTRY,1,3520,NAP SPRITE 0.2 PUSZKA,0.128342246,48,0,0,
CHEMISTRY,1,8460,NIVEA SZAMPIN 2*1 250 ML,0.005347594,2,0,0,
CHEMISTRY,1,8461,NIVEA SZAMPON DIAMOND 250 ML,0.002673797,1,0,0,
CHEMISTRY,1,7932,NOZE 12 SZT,0.00802139,3,0,0,
CHEMISTRY,1,8127,NOZYCZKI NIEBIESKIE,0.002673797,1,0,0,
CHEMISTRY,1,8126,NOZYCZKI Z LINIJKA,0.005347594,2,0,0,
CHEMISTRY,1,10238,NUREK 500 G GRANULKI DO RUR,0.002673797,1,0,0,
CHEMISTRY,1,10236,NUREK GRANULKI UDRAZNIA 250 G,0.005347594,2,0,0,
CHEMISTRY,1,5984,ODSWIEZACZ  SZYSZKA,0.00802139,3,0,0,
CHEMISTRY,1,6351,ODSWIEZACZ SPRAY 400 ML,0.010695187,4,0,0,
CHEMISTRY,1,6353,ODSWIEZACZ SPRAY 400 ML,0.002673797,1,0,0,
CHEMISTRY,1,6354,ODSWIEZACZ SPRAY 400 ML,0.00802139,3,0,0,
CHEMISTRY,1,7574,ODSWIEZACZ SZYSZKA KOKOS,0.002673797,1,0,0,
CHEMISTRY,1,7575,ODSWIEZACZ SZYSZKA KONWALIA,0.005347594,2,0,0,
CHEMISTRY,1,8490,ODSWIEZACZ W ZELU AROLA 150 G,0.002673797,1,0,0,
CHEMISTRY,1,6348,ODSWIEZACZ ZAPAS,0.024064171,9,0,0,
CHEMISTRY,1,6848,ODSWIEZACZ ZAPAS,0.005347594,2,0,0,
CHEMISTRY,1,6347,ODSWIEZACZ ZAPAS,0.010695187,4,0,0,
CHEMISTRY,1,8849,ODSWIEZACZ ZAPAS DO SZYSZKI,0.013368984,5,0,0,
CHEMISTRY,1,7579,ODSWIEZACZ ZAPAS DO SZYSZKI,0.010695187,4,0,0,
CHEMISTRY,1,7752,ODSWIEZACZ ZAPAS SZYSZKA,0.005347594,2,0,0,
CHEMISTRY,1,4960,OLOWEK TECHNICZNY BIC,0.010695187,4,0,0,
CHEMISTRY,1,10794,OPASKA DZIANA PODTRZYMUJACA 10 CM *4M,0.029411765,11,0,0,
CHEMISTRY,1,9451,PADPASKI BELLA CLASSIS NOVA10SZT,0.002673797,1,0,0,
CHEMISTRY,1,8857,PALMOLIVE SZAMPON 350 ML,0.005347594,2,0,0,
CHEMISTRY,1,8856,PALMOLIVE SZAMPON 350 ML PRZECIW LUPIEZO,0.005347594,2,0,0,
CHEMISTRY,1,7117,PAP LM FORWARD,0.49197861,184,0,0,
CHEMISTRY,1,9632,PAPIER DO PIECZENIA 6M,0.013368984,5,0,0,
CHEMISTRY,1,7760,PAPIER DO PIECZENIA 8 M PAN PACK,0.056149733,21,0,0,
CHEMISTRY,1,10474,PAPIER DO PREZENTOW,0.042780749,16,0,0,
